ID,"Absolute URL","Relative Path",File,"Alt Text",Caption,Description,Title
5936,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/4.-Goal-direction-lrezn5.mp3,/woocommerce_uploads/2024/02/4.-Goal-direction-lrezn5.mp3,4.-Goal-direction-lrezn5.mp3,,,"”4. Goal direction”.","4. Goal direction"
5825,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2025/11/2ba686e5e448df29ba21aafdba45ab1b9dc089c8-gdvw3n.m4a,/woocommerce_uploads/2025/11/2ba686e5e448df29ba21aafdba45ab1b9dc089c8-gdvw3n.m4a,2ba686e5e448df29ba21aafdba45ab1b9dc089c8-gdvw3n.m4a,,,”2ba686e5e448df29ba21aafdba45ab1b9dc089c8”.,2ba686e5e448df29ba21aafdba45ab1b9dc089c8
5824,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2025/11/33857d2ea560191415d3cd2af9cd9c3cd9f5eed5-l6hvp9.m4a,/woocommerce_uploads/2025/11/33857d2ea560191415d3cd2af9cd9c3cd9f5eed5-l6hvp9.m4a,33857d2ea560191415d3cd2af9cd9c3cd9f5eed5-l6hvp9.m4a,,,”33857d2ea560191415d3cd2af9cd9c3cd9f5eed5”.,33857d2ea560191415d3cd2af9cd9c3cd9f5eed5
5823,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2025/11/16b8030daf598ff9704a1427cd8a3f422b2f8a37-swio4z.m4a,/woocommerce_uploads/2025/11/16b8030daf598ff9704a1427cd8a3f422b2f8a37-swio4z.m4a,16b8030daf598ff9704a1427cd8a3f422b2f8a37-swio4z.m4a,,,”16b8030daf598ff9704a1427cd8a3f422b2f8a37”.,16b8030daf598ff9704a1427cd8a3f422b2f8a37
5222,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/10/586e477b09b4a90260ee0ea434ecdb7cf0a1e750-2-ks0ddy.mp3,/woocommerce_uploads/2024/10/586e477b09b4a90260ee0ea434ecdb7cf0a1e750-2-ks0ddy.mp3,586e477b09b4a90260ee0ea434ecdb7cf0a1e750-2-ks0ddy.mp3,,,"”586e477b09b4a90260ee0ea434ecdb7cf0a1e750 (2)”. Släppt: 2022.","586e477b09b4a90260ee0ea434ecdb7cf0a1e750 (2)"
4714,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2025/05/Andningsankare-ffses0.mp3,/woocommerce_uploads/2025/05/Andningsankare-ffses0.mp3,Andningsankare-ffses0.mp3,,,"”Andningsankare”. Släppt: 2021.",Andningsankare
4713,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2025/05/Andas-dig-lugn-och-fri-nc2ihy.mp3,/woocommerce_uploads/2025/05/Andas-dig-lugn-och-fri-nc2ihy.mp3,Andas-dig-lugn-och-fri-nc2ihy.mp3,,,"”Andas dig lugn och fri”. Släppt: 2021.","Andas dig lugn och fri"
4703,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/4-Goal-image-training-kj6l1i.mp3,/woocommerce_uploads/2024/02/4-Goal-image-training-kj6l1i.mp3,4-Goal-image-training-kj6l1i.mp3,,,"”Introduction to Mental Training, Pt. 4” från Introduction to Mental Training. Spår 4. Genre: Verschiedenes.","Introduction to Mental Training, Pt. 4"
4702,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/3-Self-image-training-uxkdel.mp3,/woocommerce_uploads/2024/02/3-Self-image-training-uxkdel.mp3,3-Self-image-training-uxkdel.mp3,,,"”Introduction to Mental Training, Pt. 1” från Introduction to Mental Training av Unestahl/ Gordin. Spår 1. Genre: Verschiedenes.","Introduction to Mental Training, Pt. 1"
4701,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/2-Mental-Relaxation-yci5dh.mp3,/woocommerce_uploads/2024/02/2-Mental-Relaxation-yci5dh.mp3,2-Mental-Relaxation-yci5dh.mp3,,,"”Introduction to Mental Training, Pt. 3” från Introduction to Mental Training av Unestahl/ Gordin. Spår 3. Genre: Verschiedenes.","Introduction to Mental Training, Pt. 3"
4700,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/1-Muscular-relaxation-nkng4l.mp3,/woocommerce_uploads/2024/02/1-Muscular-relaxation-nkng4l.mp3,1-Muscular-relaxation-nkng4l.mp3,,,"”Introduction to Mental Training, Pt. 2” från Introduction to Mental Training av Unestahl/ Gordin. Spår 2. Genre: Verschiedenes.","Introduction to Mental Training, Pt. 2"
4692,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/04-Goal-image-training-5d88kk.mp3,/woocommerce_uploads/2024/02/04-Goal-image-training-5d88kk.mp3,04-Goal-image-training-5d88kk.mp3,,,"”Introduction to Mental Training, Pt. 4” från Introduction to Mental Training. Spår 4. Genre: Verschiedenes.","Introduction to Mental Training, Pt. 4"
4691,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/03-Self-image-training-nbw1yd.mp3,/woocommerce_uploads/2024/02/03-Self-image-training-nbw1yd.mp3,03-Self-image-training-nbw1yd.mp3,,,"”Introduction to Mental Training, Pt. 3” från Introduction to Mental Training av Unestahl/ Gordin. Spår 3. Genre: Verschiedenes.","Introduction to Mental Training, Pt. 3"
4690,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/02-Mental-Relaxation-rukh8z.mp3,/woocommerce_uploads/2024/02/02-Mental-Relaxation-rukh8z.mp3,02-Mental-Relaxation-rukh8z.mp3,,,"”Introduction to Mental Training, Pt. 2” från Introduction to Mental Training av Unestahl/ Gordin. Spår 2. Genre: Verschiedenes.","Introduction to Mental Training, Pt. 2"
4689,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/01-Muscular-Relaxation-suiet1.mp3,/woocommerce_uploads/2024/02/01-Muscular-Relaxation-suiet1.mp3,01-Muscular-Relaxation-suiet1.mp3,,,"”Introduction to Mental Training, Pt. 1” från Introduction to Mental Training av Unestahl/ Gordin. Spår 1. Genre: Verschiedenes.","Introduction to Mental Training, Pt. 1"
4514,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/07-Control-zruysi.mp3,/woocommerce_uploads/2024/02/07-Control-zruysi.mp3,07-Control-zruysi.mp3,,,"”Spår 7” från Okänt album (2015-06-26 09:10:22). Spår 7.","Spår 7"
4513,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/06-Cheerfulness-jm2ao9.mp3,/woocommerce_uploads/2024/02/06-Cheerfulness-jm2ao9.mp3,06-Cheerfulness-jm2ao9.mp3,,,"”Spår 6” från Okänt album (2015-06-26 09:10:22). Spår 6.","Spår 6"
4512,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/05-Creativity-eivfon.mp3,/woocommerce_uploads/2024/02/05-Creativity-eivfon.mp3,05-Creativity-eivfon.mp3,,,"”Spår 5” från Okänt album (2015-06-26 09:10:22). Spår 5.","Spår 5"
4511,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/04-Commitment-smymii.mp3,/woocommerce_uploads/2024/02/04-Commitment-smymii.mp3,04-Commitment-smymii.mp3,,,"”Spår 4” från Okänt album (2015-06-26 09:10:22). Spår 4.","Spår 4"
4510,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/03-Concentration-xu1ede.mp3,/woocommerce_uploads/2024/02/03-Concentration-xu1ede.mp3,03-Concentration-xu1ede.mp3,,,"”Spår 3” från Okänt album (2015-06-26 09:10:22). Spår 3.","Spår 3"
4509,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/02-Calmness-fwbpgr.mp3,/woocommerce_uploads/2024/02/02-Calmness-fwbpgr.mp3,02-Calmness-fwbpgr.mp3,,,"”Spår 2” från Okänt album (2015-06-26 09:10:22). Spår 2.","Spår 2"
4508,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/01-Confidence-rntyn0.mp3,/woocommerce_uploads/2024/02/01-Confidence-rntyn0.mp3,01-Confidence-rntyn0.mp3,,,"”Spår 1” från Okänt album (2015-06-26 09:10:22). Spår 1.","Spår 1"
4477,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/03-Medvetandetraning-49lhnl.mp3,/woocommerce_uploads/2024/02/03-Medvetandetraning-49lhnl.mp3,03-Medvetandetraning-49lhnl.mp3,,,"”Medvetandeträning” från Gyllene rummet av Uneståhl. Spår 3. Genre: New Age.",Medvetandeträning
4476,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/02-Instruktioner-fs0cup.mp3,/woocommerce_uploads/2024/02/02-Instruktioner-fs0cup.mp3,02-Instruktioner-fs0cup.mp3,,,"”Instruktioner” från Gyllene rummet av Uneståhl. Spår 2. Genre: New Age.",Instruktioner
4435,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2025/03/03-Sjalvbildstraning-l9cavb.mp3,/woocommerce_uploads/2025/03/03-Sjalvbildstraning-l9cavb.mp3,03-Sjalvbildstraning-l9cavb.mp3,,,"”03 Självbildsträning”.","03 Självbildsträning"
4433,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2025/03/5_Sjalvfortroende-kq4mv8.mp3,/woocommerce_uploads/2025/03/5_Sjalvfortroende-kq4mv8.mp3,5_Sjalvfortroende-kq4mv8.mp3,,,”5_Självförtroende”.,5_Självförtroende
4295,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/04-Goal-image-training-itnvtd.mp3,/woocommerce_uploads/2024/02/04-Goal-image-training-itnvtd.mp3,04-Goal-image-training-itnvtd.mp3,,,"”Introduction to Mental Training, Pt. 4” från Introduction to Mental Training. Spår 4. Genre: Verschiedenes.","Introduction to Mental Training, Pt. 4"
4294,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/03-Self-image-training-uwb3y9.mp3,/woocommerce_uploads/2024/02/03-Self-image-training-uwb3y9.mp3,03-Self-image-training-uwb3y9.mp3,,,"”Introduction to Mental Training, Pt. 3” från Introduction to Mental Training av Unestahl/ Gordin. Spår 3. Genre: Verschiedenes.","Introduction to Mental Training, Pt. 3"
4293,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/2-Mental-Relaxation-nlurlv.mp3,/woocommerce_uploads/2024/02/2-Mental-Relaxation-nlurlv.mp3,2-Mental-Relaxation-nlurlv.mp3,,,"”Introduction to Mental Training, Pt. 1” från Introduction to Mental Training av Unestahl/ Gordin. Spår 1. Genre: Verschiedenes.","Introduction to Mental Training, Pt. 1"
4292,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/1-Muscular-Relaxation-tkgzbe.mp3,/woocommerce_uploads/2024/02/1-Muscular-Relaxation-tkgzbe.mp3,1-Muscular-Relaxation-tkgzbe.mp3,,,"”Introduction to Mental Training, Pt. 2” från Introduction to Mental Training av Unestahl/ Gordin. Spår 2. Genre: Verschiedenes.","Introduction to Mental Training, Pt. 2"
